万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688001.SH,688001,20220812,91511160,0,79898,A,B,314300,277
688001.SH,688001,20220812,91511160,0,79901,A,B,313000,200
688001.SH,688001,20220812,91511160,0,79903,A,B,310300,237
688001.SH,688001,20220812,91511160,0,79905,A,B,309200,209
688001.SH,688001,20220812,91511290,0,80152,A,S,399500,100
688001.SH,688001,20220812,91511400,0,80378,A,S,401000,100
688001.SH,688001,20220812,91511400,0,80381,A,S,403500,100
688001.SH,688001,20220812,91511400,0,80382,A,S,414500,100
688001.SH,688001,20220812,91511530,0,80593,A,B,335200,200
688001.SH,688001,20220812,91511790,0,81026,A,B,352000,200
688001.SH,688001,20220812,91512150,0,81589,A,S,395000,1000
688001.SH,688001,20220812,91512770,0,82468,A,S,399900,1500
688001.SH,688001,20220812,91513020,0,52222,D,S,403000,1000
688001.SH,688001,20220812,91513020,0,52223,D,S,417000,1000
688001.SH,688001,20220812,91514460,0,84605,A,B,345500,210
688001.SH,688001,20220812,91514750,0,84857,A,S,402000,200
688001.SH,688001,20220812,91515200,0,85221,A,B,355200,2000
688001.SH,688001,20220812,91516000,0,85356,A,S,384000,2000
688001.SH,688001,20220812,91520800,0,85599,A,S,386800,600
688001.SH,688001,20220812,91522960,0,85694,A,B,320000,200
688001.SH,688001,20220812,91612000,0,88517,A,B,375200,200
688001.SH,688001,20220812,91612000,0,88518,A,B,375200,200
688001.SH,688001,20220812,91632820,0,89856,A,S,450000,200
688001.SH,688001,20220812,91643840,0,90612,A,B,353000,2000
688001.SH,688001,20220812,91653810,0,91285,A,B,363500,200
688001.SH,688001,20220812,91701020,0,91836,A,S,391800,3557
688001.SH,688001,20220812,91711380,0,92539,A,B,362600,200
688001.SH,688001,20220812,91718700,0,93005,A,S,393800,3557
688001.SH,688001,20220812,91726840,0,93508,A,S,378200,2000
688001.SH,688001,20220812,91732160,0,19239,D,S,425800,100
